age,gender,occupation,line_of_work,time_bp,time_dp,travel_time,easeof_online,home_env,prod_inc,sleep_bal,new_skill,fam_connect,relaxed,self_time,like_hw,dislike_hw,prefer,certaindays_hw,,time_bp,travel+work
19-25,Male,Student in College,,9,4,0.5,3,2,-0.5,-0.5,0.5,0.5,0,0.5,1111,1111,Complete Physical Attendance,Maybe,,9,
19-25,Male,Student in College,,7,4,0.5,2,2,0,0,0.5,0.5,0.5,0.5,1100,1111,Complete Physical Attendance,Maybe,,7,
19-25,Male,Currently Out of Work,,9,4,1.5,5,3,-0.5,-0.5,0.5,0.5,0,0.5,1000,1,Complete Physical Attendance,Yes,,9,
19-25,Female,Student in College,,5,4,0.5,3,1,0,1,0.5,0.5,0,0.5,1100,1000,Complete Physical Attendance,Maybe,,5,
19-25,Female,Student in College,,7,7,0.5,3,2,0.5,0.5,0.5,0.5,0.5,0.5,1110,1111,Complete Physical Attendance,Yes,,7,
19-25,Male,Student in College,,5,5,0.5,3,3,0,0,0,0,0,0,100,1,Complete Physical Attendance,Maybe,,5,
60+,Prefer not to say,Homemaker,,12,12,3,1,2,-1,-1,-1,-1,-1,-1,1111,1111,Complete Physical Attendance,Maybe,,12,
19-25,Male,Student in College,,5,4,0.5,2,3,0,-0.5,0,0,0,0,1010,1110,Complete Physical Attendance,Yes,,5,
19-25,Male,Student in College,,7,4,0.5,3,4,-0.5,-1,0.5,0.5,-0.5,0.5,1110,1111,Complete Physical Attendance,No,,7,
40-50,Female,Homemaker,,7,9,0.5,3,3,0,-0.5,0.5,1,0.5,-0.5,1100,101,Complete Physical Attendance,Yes,,7,
40-50,Male,Working Professional,Engineering,9,11,2.5,3,3,-0.5,-0.5,1,0.5,-1,0.5,1100,1001,Complete Physical Attendance,Yes,,9,
19-25,Male,Student in College,,5,7,0.5,1,3,0.5,-0.5,0.5,0.5,0.5,0.5,1100,110,Work/study from home,Yes,,5,
19-25,Male,Student in College,,5,5,2.5,2,2,0.5,-0.5,1,0.5,0.5,0.5,1100,11,Work/study from home,Yes,,5,
19-25,Male,Entrepreneur,,7,5,0.5,3,3,-0.5,-1,0.5,0,-0.5,0,1100,111,Complete Physical Attendance,Maybe,,7,
Dec-18,Male,Student in School,,7,5,0.5,3,3,0.5,0,1,1,0.5,0.5,1000,1000,Work/study from home,Yes,,7,
19-25,Female,Student in College,,7,4,1.5,2,4,-0.5,0.5,0,1,-1,0,100,10,Complete Physical Attendance,No,,7,
19-25,Male,Student in College,,9,4,2.5,5,3,-1,-1,-1,0.5,0,-1,1,1000,Complete Physical Attendance,Maybe,,9,
Dec-18,Male,Student in School,,7,5,0.5,2,1,0,0.5,0.5,1,0.5,0.5,1000,111,Complete Physical Attendance,Yes,,7,
Dec-18,Male,Student in College,,7,5,0.5,2,3,0,0,0,0,0,0,10,1000,Complete Physical Attendance,Maybe,,7,
Dec-18,Prefer not to say,Student in School,,7,4,0.5,1,1,-0.5,-1,-0.5,0,0,0.5,1,10,Work/study from home,Yes,,7,
40-50,Male,Working Professional,Engineering,9,12,1.5,3,3,0,0.5,-1,-1,-1,-1,1000,1000,Work/study from home,Yes,,9,
19-25,Male,Student in College,,7,4,0.5,4,2,-1,-0.5,-1,0,0,-0.5,1110,110,Work/study from home,Yes,,7,
19-25,Male,Working Professional,Architect,7,7,1.5,4,2,-0.5,0,-0.5,0,-0.5,-0.5,1000,1000,Work/study from home,Maybe,,7,
Dec-18,Male,Student in School,,11,7,0.5,1,3,0,0,0,0,0,0,1010,1111,Complete Physical Attendance,No,,11,
19-25,Male,Student in College,,5,4,0.5,2,3,0,0.5,0.5,0.5,0,0.5,1100,1110,Complete Physical Attendance,No,,5,
Dec-18,Female,Student in College,,4,4,1.5,1,3,0,-0.5,1,0.5,0,0,1111,1111,Complete Physical Attendance,Yes,,4,
Dec-18,Male,Student in School,,7,7,0.5,1,3,0,-0.5,0.5,0,0.5,-0.5,1010,1110,Complete Physical Attendance,No,,7,
Dec-18,Male,Student in School,,5,5,0.5,2,3,0,0,0.5,1,0.5,0.5,10,11,Work/study from home,Maybe,,5,
Dec-18,Male,Student in School,,7,7,0.5,3,3,0,0,0,0,0.5,0.5,10,1,Complete Physical Attendance,Maybe,,7,
Dec-18,Female,Student in College,,7,5,0.5,3,4,0,0.5,0.5,0.5,-0.5,0.5,1,10,Complete Physical Attendance,No,,7,
Dec-18,Male,Student in College,,4,5,1.5,2,5,-1,-0.5,1,0,-1,0.5,1000,1000,Complete Physical Attendance,Maybe,,4,
Dec-18,Male,Student in College,,4,7,0.5,4,4,0,-1,0.5,0.5,0,0.5,1100,1001,Complete Physical Attendance,Maybe,,4,
Dec-18,Female,Student in College,,9,12,0.5,3,2,0,0.5,0,0.5,0,-0.5,1100,1001,Complete Physical Attendance,No,,9,
26-32,Female,Working Professional,Engineering,7,9,1.5,2,2,0.5,-0.5,1,0,-0.5,0,10,1011,Work/study from home,Maybe,,7,
19-25,Male,Student in College,,7,7,0.5,1,1,-0.5,0,1,1,0,0,100,1000,Work/study from home,Yes,,7,
33-40,Female,Working Professional,Teaching,7,9,1.5,4,4,-0.5,-0.5,-1,0,-0.5,-0.5,1,1,Complete Physical Attendance,No,,7,
19-25,Male,Student in College,,4,4,0.5,1,5,-1,-1,-0.5,1,-1,-1,1000,1111,Complete Physical Attendance,Yes,,4,
19-25,Female,Working Professional,Teaching,7,9,1.5,5,5,-1,-1,0.5,0.5,-1,-1,1000,1001,Complete Physical Attendance,No,,7,
19-25,Prefer not to say,Student in College,,7,7,0.5,1,3,1,0.5,1,1,1,1,100,10,Work/study from home,Yes,,7,
Dec-18,Male,Student in College,,9,5,0.5,2,2,-0.5,0,0.5,0.5,0.5,0,1100,1111,Complete Physical Attendance,Yes,,9,
50-60,Male,Retired/Senior Citizen,,12,12,0.5,1,1,0,0,0,0,0,0,1000,1,Complete Physical Attendance,No,,12,
19-25,Female,Working Professional,Management,9,9,1.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1010,111,Work/study from home,Yes,,9,
19-25,Female,Student in College,,4,7,2.5,2,5,1,1,1,1,1,1,1111,100,Work/study from home,Maybe,,4,
19-25,Male,Student in College,,9,4,1.5,3,2,0,0.5,0.5,0.5,0,0.5,1010,1001,Complete Physical Attendance,Yes,,9,
Dec-18,Male,Student in College,,9,7,1.5,4,3,-1,-1,0,1,-1,0,1,1111,Complete Physical Attendance,Yes,,9,
19-25,Male,Student in College,,5,4,0.5,5,3,0,0,0,0,0,0,1000,1000,Complete Physical Attendance,Maybe,,5,
19-25,Male,Student in College,,9,5,2.5,2,4,0,-0.5,1,1,0.5,1,1100,1111,Complete Physical Attendance,Yes,,9,
19-25,Male,Student in College,,9,4,2.5,1,1,0,-0.5,0.5,0,0,0,1010,1011,Complete Physical Attendance,Maybe,,9,
50-60,Male,Working Professional,Engineering,9,11,2.5,4,3,-0.5,-0.5,0.5,0.5,0,0.5,1100,1101,Complete Physical Attendance,Yes,,9,
19-25,Male,Student in College,,5,7,1.5,4,4,-0.5,0,-0.5,0,-0.5,0,100,100,Complete Physical Attendance,No,,5,
19-25,Male,Student in College,,7,5,1.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,10,1101,Complete Physical Attendance,Yes,,7,
19-25,Female,Student in College,,7,11,0.5,4,2,0,-0.5,0,0,-1,0,1000,1000,Complete Physical Attendance,Maybe,,7,
19-25,Male,Student in College,,7,7,2.5,3,3,0,-0.5,0.5,0.5,0,0,1000,1,Complete Physical Attendance,Maybe,,7,
40-50,Male,Working Professional,Engineering,9,9,1.5,1,4,0,0.5,0,0.5,0.5,1,1000,1000,Work/study from home,Yes,,9,
19-25,Male,Student in College,,9,7,0.5,5,5,-1,-1,-1,-1,-1,-1,1000,1111,Complete Physical Attendance,Yes,,9,
19-25,Male,Student in College,,9,5,3,1,3,0,1,1,1,1,1,1111,1,Complete Physical Attendance,Yes,,9,
19-25,Male,Student in College,,4,7,0.5,4,3,0.5,-0.5,0,0,-0.5,0.5,1000,1101,Complete Physical Attendance,Yes,,4,
19-25,Female,Student in College,,5,5,0.5,4,4,-0.5,-1,-1,-0.5,-1,-1,1001,1111,Complete Physical Attendance,Maybe,,5,
Dec-18,Female,Student in College,,9,7,0.5,3,4,0,0.5,0.5,1,0,0,1110,1111,Complete Physical Attendance,Yes,,9,
19-25,Male,Working Professional,Engineering,7,7,0.5,2,2,1,-1,-1,-1,1,-1,1000,1001,Complete Physical Attendance,Maybe,,7,
19-25,Male,Student in College,,7,5,1.5,3,2,0,-0.5,0,-0.5,-0.5,0,110,100,Complete Physical Attendance,No,,7,
40-50,Female,Homemaker,,5,9,0.5,1,2,0.5,0,0.5,0.5,0,0,100,10,Work/study from home,Maybe,,5,
19-25,Male,Student in College,,7,7,0.5,5,4,-1,-0.5,-1,-1,-0.5,-1,1110,1000,Complete Physical Attendance,Maybe,,7,
19-25,Male,Working Professional,Engineering,7,4,0.5,3,3,-0.5,0.5,0.5,0.5,0.5,0.5,1,1,Complete Physical Attendance,Maybe,,7,
Dec-18,Male,Student in College,,7,9,0.5,4,3,-0.5,-1,0.5,0.5,-0.5,0,100,1110,Complete Physical Attendance,No,,7,
19-25,Female,Working Professional,Other,9,9,0.5,3,2,0.5,1,0.5,1,1,1,1011,1111,Complete Physical Attendance,Yes,,9,
40-50,Male,Working Professional,Engineering,9,12,1.5,3,3,0,0.5,-1,-1,-1,-1,1000,1000,Work/study from home,Yes,,9,
26-32,Male,Student in College,,12,12,0.5,2,1,0.5,0.5,0.5,0.5,0.5,0.5,1100,1,Work/study from home,Yes,,12,
33-40,Male,Currently Out of Work,,5,7,2.5,4,4,-0.5,0.5,0.5,0.5,1,0.5,101,1100,Work/study from home,Yes,,5,
60+,Female,Homemaker,,4,4,0.5,4,4,0,0.5,0.5,0.5,0.5,0.5,1010,1001,Work/study from home,Yes,,4,
19-25,Male,Working Professional,Architect,7,7,1.5,4,2,-0.5,0,-0.5,0,-0.5,-0.5,1000,1000,Work/study from home,Maybe,,7,
19-25,Male,Student in College,,7,5,1.5,3,3,0,0,0,0,0,0,1000,100,Complete Physical Attendance,No,,7,
19-25,Male,Student in College,,9,4,0.5,3,3,0.5,-0.5,0.5,0.5,0.5,0,111,1100,Complete Physical Attendance,Yes,,9,
19-25,Male,Student in College,,7,11,0.5,3,3,1,-1,1,-1,-1,1,10,1111,Complete Physical Attendance,Maybe,,7,
Dec-18,Male,Student in College,,7,5,1.5,5,5,0,0.5,-0.5,0,-0.5,-0.5,100,1111,Complete Physical Attendance,Maybe,,7,
19-25,Male,Student in College,,9,4,1.5,3,1,-0.5,-1,0,0,-0.5,-0.5,1000,1110,Complete Physical Attendance,Maybe,,9,
19-25,Male,Student in College,,5,7,0.5,1,1,1,0.5,1,1,1,1,1110,1,Work/study from home,Yes,,5,
60+,Male,Currently Out of Work,,4,4,0.5,5,2,-1,1,1,1,1,1,1110,100,Work/study from home,Maybe,,4,
50-60,Female,Homemaker,,7,9,0.5,1,1,0,0,0,0,0,0,100,100,Work/study from home,Maybe,,7,
Dec-18,Female,Student in School,,7,7,0.5,1,4,-0.5,-0.5,1,1,1,1,1,1,Work/study from home,Yes,,7,
33-40,Male,Working Professional,Teaching,11,11,1.5,4,3,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,Complete Physical Attendance,No,,11,
60+,Male,Currently Out of Work,,4,4,1.5,5,5,-0.5,1,1,1,1,1,1110,1,Work/study from home,Yes,,4,
60+,Male,Working Professional,Other,9,7,1.5,5,2,-0.5,1,1,1,1,1,1110,1,Work/study from home,Yes,,9,
33-40,Prefer not to say,Entrepreneur,,9,9,0.5,2,1,1,-0.5,1,1,1,1,1110,1001,Complete Physical Attendance,Maybe,,9,
40-50,Male,Medical Professional aiding efforts against COVID-19,,7,12,1.5,5,5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,110,1,Work/study from home,Maybe,,7,
40-50,Male,Working Professional,Government Employee,7,12,2.5,4,3,-0.5,-1,-0.5,-1,-1,-0.5,110,1,Work/study from home,No,,7,
60+,Male,Currently Out of Work,,9,5,1.5,4,3,-1,1,1,1,1,1,1110,1,Complete Physical Attendance,No,,9,
50-60,Female,Homemaker,,5,12,0.5,1,2,1,-0.5,-0.5,-0.5,-0.5,-0.5,110,1,Work/study from home,Maybe,,5,
26-32,Female,Entrepreneur,,5,9,1.5,2,2,0.5,0.5,1,1,1,0,1110,101,Work/study from home,Yes,,5,
26-32,Male,Working Professional,Management,7,9,1.5,1,1,0.5,0.5,1,1,0,0.5,100,101,Complete Physical Attendance,Maybe,,7,
40-50,Female,Working Professional,Teaching,9,9,2.5,2,2,0,0,0.5,0.5,0.5,0.5,1110,111,Complete Physical Attendance,Yes,,9,
19-25,Male,Student in College,,7,5,1.5,1,4,-0.5,-0.5,0,0,0,0,1010,1100,Work/study from home,Maybe,,7,
40-50,Female,Working Professional,Teaching,9,9,2.5,2,2,0,0,0.5,0.5,0.5,0.5,1110,111,Complete Physical Attendance,Yes,,9,
26-32,Female,Entrepreneur,,11,12,3,2,3,1,0,0.5,0.5,0.5,-0.5,100,1011,Complete Physical Attendance,Yes,,11,
19-25,Male,Student in College,,7,4,0.5,2,3,0,0,-1,1,0,-1,100,101,Work/study from home,Yes,,7,
19-25,Female,Student in College,,7,5,1.5,3,2,1,1,1,1,1,1,1000,1000,Complete Physical Attendance,Yes,,7,
50-60,Female,Working Professional,Engineering,12,12,1.5,1,1,1,1,-0.5,0.5,0.5,0,1101,1100,Work/study from home,Yes,,12,
26-32,Female,Entrepreneur,,11,12,3,2,3,1,0,0.5,0.5,0.5,-0.5,100,1011,Complete Physical Attendance,Yes,,11,
33-40,Female,Working Professional,Teaching,9,9,1.5,2,2,0.5,0.5,0.5,1,0.5,0.5,1100,1001,Work/study from home,Yes,,9,
Dec-18,Male,Student in School,,7,5,0.5,4,2,-0.5,0,0.5,1,0,0,100,1000,Complete Physical Attendance,No,,7,
19-25,Male,Working Professional,Engineering,7,4,0.5,3,3,-0.5,0.5,0.5,0.5,0.5,0.5,1,1,Complete Physical Attendance,Maybe,,7,
19-25,Male,Student in College,,9,5,1.5,2,4,-0.5,-0.5,1,1,0.5,0.5,100,1111,Complete Physical Attendance,Maybe,,9,
19-25,Male,Student in College,,7,4,0.5,2,2,-0.5,0,-0.5,-1,0,-1,1000,1101,Complete Physical Attendance,Yes,,7,
19-25,Male,Student in College,,7,7,0.5,5,4,-1,0,-0.5,0,-1,-1,1100,1101,Complete Physical Attendance,No,,7,
19-25,Male,Student in College,,7,4,0.5,1,1,0,0,1,0,-1,1,10,1111,Complete Physical Attendance,Yes,,7,
Dec-18,Female,Student in College,,7,12,1.5,1,3,1,-1,0,-1,1,-0.5,1111,1100,Work/study from home,Yes,,7,
40-50,Female,Entrepreneur,,9,12,1.5,4,4,-0.5,-1,0,-1,0,0,100,1011,Complete Physical Attendance,Maybe,,9,
19-25,Male,Working Professional,Engineering,9,9,0.5,4,2,-0.5,-0.5,1,0,-0.5,0.5,1000,1110,Complete Physical Attendance,Maybe,,9,
19-25,Female,Student in College,,9,5,0.5,5,4,-1,-1,0,-1,-1,-1,10,1101,Complete Physical Attendance,Maybe,,9,
26-32,Male,Working Professional,Other,7,5,0.5,3,5,-0.5,-0.5,-0.5,0.5,0,-0.5,1010,1101,Complete Physical Attendance,Yes,,7,
33-40,Male,Working Professional,Engineering,9,9,0.5,2,2,0.5,0.5,0.5,1,0,0.5,1100,1,Work/study from home,Yes,,9,
40-50,Female,Medical Professional aiding efforts against COVID-19,,9,4,2.5,3,5,-0.5,0,0,0.5,0,0,10,1000,Complete Physical Attendance,No,,9,
26-32,Male,Student in College,,9,12,0.5,4,4,-0.5,-1,-1,-0.5,-1,-0.5,1110,1111,Complete Physical Attendance,Maybe,,9,
40-50,Male,Working Professional,Management,9,9,1.5,1,1,1,0.5,1,1,0.5,0.5,1100,1101,Work/study from home,Yes,,9,
40-50,Male,Working Professional,Management,9,9,0.5,3,3,0.5,0,0.5,0.5,0.5,0.5,1000,100,Work/study from home,Yes,,9,
50-60,Male,Working Professional,Management,11,11,1.5,3,3,-0.5,0,0.5,0.5,0.5,0.5,100,1000,Work/study from home,Yes,,11,
26-32,Female,Homemaker,,5,12,0.5,3,5,-0.5,-1,-0.5,0,-0.5,-0.5,100,111,Complete Physical Attendance,Maybe,,5,
26-32,Male,Working Professional,Engineering,9,11,0.5,3,2,0.5,0.5,0.5,0.5,0,0,1111,110,Complete Physical Attendance,Maybe,,9,
26-32,Male,Working Professional,Engineering,11,12,1.5,2,2,0,0,0,-1,0,-0.5,1111,1100,Complete Physical Attendance,Yes,,11,
40-50,Male,Working Professional,Engineering,5,5,0.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,Work/study from home,Yes,,5,
26-32,Male,Working Professional,Engineering,9,9,1.5,3,5,0,0,0,0,0,0,1000,1111,Complete Physical Attendance,No,,9,
26-32,Male,Working Professional,Engineering,9,5,1.5,2,3,0.5,0.5,0.5,0.5,0.5,0.5,1001,100,Work/study from home,Yes,,9,
26-32,Male,Working Professional,Engineering,11,12,0.5,3,3,0,0,-1,-1,0,0,11,1010,Complete Physical Attendance,Maybe,,11,
26-32,Male,Entrepreneur,,5,5,0.5,3,4,-0.5,-1,0.5,0,0,0,1111,1101,Complete Physical Attendance,Yes,,5,
26-32,Male,Working Professional,Other,7,5,1.5,3,3,-0.5,0,0.5,0.5,0.5,0.5,100,1000,Work/study from home,No,,7,
33-40,Male,Working Professional,Other,7,7,3,2,5,-0.5,0.5,-0.5,0.5,0.5,0.5,1000,100,Complete Physical Attendance,Yes,,7,
50-60,Male,Working Professional,Management,9,9,0.5,2,4,-1,0,0.5,0.5,-0.5,0,1100,1,Complete Physical Attendance,Yes,,9,
33-40,Male,Working Professional,Other,11,11,2.5,4,4,0,0,0,-1,0,-1,111,1111,Complete Physical Attendance,Yes,,11,
26-32,Male,Working Professional,Engineering,7,9,2.5,3,3,0.5,0.5,0.5,1,0,0.5,1100,1110,Complete Physical Attendance,Maybe,,7,
26-32,Female,Working Professional,Management,9,12,0.5,2,5,-1,-1,-1,0.5,-1,-1,1000,1111,Complete Physical Attendance,Yes,,9,
40-50,Male,Working Professional,Management,9,11,0.5,2,2,0.5,0,0,1,0,0,1100,1111,Complete Physical Attendance,No,,9,
26-32,Prefer not to say,Working Professional,Management,11,11,2.5,2,2,0,0,0,0,0,0,1000,1001,Complete Physical Attendance,Maybe,,11,
26-32,Male,Working Professional,Management,9,11,1.5,3,2,0.5,1,0,1,0.5,0.5,1010,1101,Complete Physical Attendance,Yes,,9,
40-50,Male,Working Professional,Management,7,9,0.5,2,2,-0.5,0,0.5,0.5,0,0.5,1100,1010,Complete Physical Attendance,Yes,,7,
40-50,Male,Working Professional,Management,9,11,0.5,2,1,1,0.5,0.5,1,1,1,1100,1010,Complete Physical Attendance,Yes,,9,
26-32,Male,Working Professional,Management,7,9,0.5,2,1,0.5,0,0.5,0.5,0.5,0.5,1100,1000,Work/study from home,Yes,,7,
40-50,Male,Working Professional,Engineering,9,11,0.5,3,2,0,-0.5,0,-0.5,-0.5,-0.5,1000,1101,Work/study from home,Yes,,9,
26-32,Male,Working Professional,Other,9,7,1.5,1,3,1,1,1,1,1,1,1101,1100,Work/study from home,Yes,,9,
40-50,Male,Working Professional,Engineering,9,12,1.5,2,1,1,0,-0.5,-0.5,0.5,0,1000,1,Work/study from home,Yes,,9,
26-32,Male,Working Professional,Other,9,7,1.5,1,1,-1,-1,-1,-1,-1,-1,1110,10,Work/study from home,Yes,,9,
26-32,Male,Working Professional,Engineering,9,12,0.5,3,3,0,-1,0,0,0,0,1100,1111,Complete Physical Attendance,Yes,,9,
26-32,Male,Working Professional,Engineering,9,11,0.5,3,2,0,0,-0.5,1,0.5,0,1111,1010,Complete Physical Attendance,Yes,,9,
19-25,Male,Working Professional,Other,9,4,0.5,2,2,0.5,-0.5,0,1,-1,-0.5,100,1101,Complete Physical Attendance,Yes,,9,
50-60,Female,Working Professional,Teaching,9,11,1.5,3,2,0,-0.5,0.5,0,0,0,1000,11,Complete Physical Attendance,No,,9,
26-32,Male,Working Professional,Engineering,9,12,0.5,4,5,0,-0.5,-0.5,0,-0.5,-0.5,100,1100,Complete Physical Attendance,No,,9,
40-50,Male,Working Professional,Management,9,9,2.5,2,4,-0.5,0,-1,-0.5,0,0,1000,1100,Complete Physical Attendance,Maybe,,9,
50-60,Male,Working Professional,Management,9,5,1.5,2,1,-0.5,-0.5,-0.5,0.5,0,0.5,1000,11,Complete Physical Attendance,Yes,,9,
26-32,Male,Working Professional,Other,9,11,0.5,1,5,1,-1,0.5,0.5,0,0,1111,1111,Complete Physical Attendance,Yes,,9,
50-60,Female,Working Professional,Teaching,7,9,0.5,4,4,-0.5,-0.5,-0.5,-1,-0.5,-0.5,100,1111,Complete Physical Attendance,No,,7,
40-50,Female,Working Professional,Teaching,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,Work/study from home,Yes,,7,
40-50,Female,Working Professional,Teaching,9,12,0.5,2,3,0,-0.5,0,-0.5,-0.5,-0.5,100,1,Complete Physical Attendance,Maybe,,9,
40-50,Female,Working Professional,Teaching,9,11,0.5,3,3,0,-1,-1,-1,-1,-1,1,1000,Complete Physical Attendance,Yes,,9,
40-50,Female,Working Professional,Teaching,7,9,0.5,3,3,0,-1,-0.5,0,-0.5,-0.5,1000,1110,Complete Physical Attendance,Maybe,,7,
33-40,Male,Working Professional,Engineering,9,11,0.5,1,2,0,-1,0,0,0,-0.5,1111,1101,Work/study from home,Yes,,9,
26-32,Female,Working Professional,Teaching,7,7,1.5,3,3,0,0,0,0.5,0,0,1000,1000,Work/study from home,Yes,,7,
40-50,Female,Entrepreneur,,9,9,0.5,1,1,0,0,-0.5,1,1,0,1001,10,Work/study from home,Yes,,9,
26-32,Male,Working Professional,Engineering,9,12,2.5,3,3,-0.5,0,-1,0,0,-0.5,1101,1010,Complete Physical Attendance,Maybe,,9,
50-60,Female,Entrepreneur,,5,5,0.5,3,1,-1,-1,-1,-1,-1,-1,1000,1111,Work/study from home,Maybe,,5,
40-50,Male,Working Professional,Engineering,9,9,0.5,3,4,0,0,0.5,0.5,0,0.5,1000,1,Complete Physical Attendance,Yes,,9,
26-32,Male,Working Professional,Teaching,7,9,0.5,3,4,0.5,-0.5,-0.5,-1,-0.5,-0.5,1011,1100,Complete Physical Attendance,Yes,,7,
50-60,Female,Working Professional,Teaching,5,11,0.5,1,1,0.5,0.5,1,1,1,0,100,100,Work/study from home,Maybe,,5,
26-32,Male,Working Professional,Engineering,7,9,2.5,3,3,0.5,0.5,0.5,1,0,0.5,1100,1110,Complete Physical Attendance,Maybe,,7,
40-50,Male,Working Professional,Engineering,9,11,1.5,1,1,-1,0,-1,-1,-1,-1,1000,1,Work/study from home,Yes,,9,
33-40,Female,Working Professional,Teaching,9,11,0.5,3,4,-0.5,-0.5,-0.5,0.5,-0.5,0,1000,1101,Complete Physical Attendance,No,,9,
33-40,Male,Working Professional,Engineering,11,12,1.5,3,1,0,-1,-1,-1,-1,-1,1000,1000,Complete Physical Attendance,Maybe,,11,
33-40,Male,Entrepreneur,,5,4,0.5,1,2,0,-1,0.5,0.5,0.5,-0.5,1000,100,Complete Physical Attendance,No,,5,
19-25,Male,Student in College,,7,9,0.5,5,4,0,-0.5,0,0,-0.5,0,1000,1110,Complete Physical Attendance,Yes,,7,
50-60,Male,Working Professional,Government Employee,7,7,1.5,3,4,0.5,0,0.5,1,0.5,0.5,1000,1100,Complete Physical Attendance,No,,7,
26-32,Male,Working Professional,Engineering,9,12,0.5,5,1,0.5,-1,-1,0.5,-0.5,-0.5,110,1111,Complete Physical Attendance,Yes,,9,
33-40,Male,Working Professional,Government Employee,5,4,0.5,3,2,-0.5,0.5,0.5,1,0.5,0,100,1101,Complete Physical Attendance,Maybe,,5,
40-50,Female,Entrepreneur,,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0,0,10,1,Complete Physical Attendance,Yes,,9,
33-40,Male,Working Professional,Government Employee,7,5,1.5,4,3,-1,0.5,0,1,0.5,0,100,1,Complete Physical Attendance,No,,7,
33-40,Female,Homemaker,,5,9,0.5,5,3,0.5,-0.5,0,1,-0.5,-0.5,100,100,Work/study from home,Yes,,5,
26-32,Male,Currently Out of Work,,5,4,2.5,4,4,-1,0.5,0,0.5,-0.5,-0.5,100,1101,Complete Physical Attendance,No,,5,
26-32,Female,Working Professional,Teaching,7,9,1.5,2,3,0.5,-1,0,0,-0.5,-0.5,100,1101,Complete Physical Attendance,Maybe,,7,
26-32,Female,Working Professional,Teaching,7,9,0.5,4,3,0,0,-0.5,0,-0.5,-1,100,1101,Complete Physical Attendance,No,,7,
40-50,Male,Working Professional,Management,11,9,1.5,2,1,0,-0.5,0.5,0.5,0.5,0.5,1100,1100,Work/study from home,Yes,,11,
50-60,Female,Working Professional,Government Employee,7,5,2.5,1,3,0,0,0,0,0.5,0.5,1100,100,Work/study from home,Yes,,7,
40-50,Male,Working Professional,Engineering,9,9,1.5,3,4,0,-0.5,0,-0.5,0,-0.5,1000,1000,Work/study from home,Yes,,9,
50-60,Male,Working Professional,Engineering,7,7,1.5,5,5,0,0,0,0,0,0,1,1,Work/study from home,Maybe,,7,
40-50,Male,Working Professional,Engineering,7,7,0.5,2,3,1,0,0,0.5,0.5,0,1111,1011,Work/study from home,Yes,,7,
50-60,Female,Medical Professional aiding efforts against COVID-19,,7,5,0.5,3,2,-0.5,-0.5,0.5,-0.5,-0.5,0.5,1100,1,Complete Physical Attendance,No,,7,
40-50,Female,Homemaker,,7,9,0.5,1,3,-0.5,-0.5,-1,-1,-1,-1,1100,110,Complete Physical Attendance,Yes,,7,
33-40,Male,Working Professional,Management,9,9,2.5,3,1,0,0,0,0.5,0,0,1101,1001,Work/study from home,Maybe,,9,
50-60,Male,Working Professional,Government Employee,9,9,1.5,2,5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1,1000,Complete Physical Attendance,Maybe,,9,
26-32,Male,Working Professional,Engineering,7,12,0.5,3,5,0,-1,-1,-1,-1,-1,1000,1100,Complete Physical Attendance,No,,7,
50-60,Male,Working Professional,Engineering,7,9,0.5,4,4,0,0,0.5,0.5,0,0.5,1000,11,Work/study from home,Yes,,7,
40-50,Male,Working Professional,Engineering,5,5,0.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,Work/study from home,Yes,,5,
33-40,Male,Working Professional,Other,9,9,0.5,2,3,0.5,-0.5,0,1,0.5,0,1110,110,Complete Physical Attendance,Yes,,9,
50-60,Female,Homemaker,,4,4,0.5,1,1,-1,-1,-1,-1,-1,-1,1000,1,Complete Physical Attendance,No,,4,
50-60,Male,Entrepreneur,,9,12,0.5,1,2,0,-0.5,0.5,0.5,0,-0.5,1000,1000,Work/study from home,Yes,,9,
50-60,Male,Working Professional,Government Employee,9,9,0.5,3,2,0,0,-0.5,-0.5,-0.5,-0.5,1,1111,Complete Physical Attendance,Maybe,,9,
50-60,Male,Working Professional,Engineering,9,9,1.5,2,2,0,0,0,0,0,0,1000,11,Work/study from home,Yes,,9,
50-60,Male,Currently Out of Work,,11,4,1.5,2,4,0,-0.5,-1,0,-0.5,0,101,1001,Work/study from home,Yes,,11,
50-60,Male,Working Professional,Government Employee,7,5,1.5,4,4,-0.5,0,0,-0.5,-0.5,0,10,100,Complete Physical Attendance,Maybe,,7,
33-40,Male,Working Professional,Other,9,9,0.5,2,3,0.5,-0.5,0,1,0.5,0,1110,110,Complete Physical Attendance,Yes,,9,
33-40,Female,Medical Professional aiding efforts against COVID-19,,5,7,1.5,4,4,-0.5,0,-0.5,0.5,-0.5,0,100,1011,Complete Physical Attendance,Maybe,,5,
